SIG. TOP,Código,NOMBRE AUTOR,TITULO LIBRO,Edición,Cant.
542.616/K22-ESEN,ESEN-1858,"KAPLAN, Lawrence; PESCE, Amadeo","Química Clínica, técnicas de Laboratorio-Fisiopatología-Métodos de análisis",1992,1
576/P39-ESEN,ESEN-1859,"PELCZAR, M.; REID, R.; CHAN, E.",Microbiología,1982,1
302/M99-ESEN,ESEN-1860,"MYERS, David",Psicología Social,1995,1
174/A41-ESEN,"ESEN-1868-1869, 1921-1922, 1991-1992, 3096-3098","VELEZ CORREA, Luis Alfonso","Etica médica, interrogantes acerca de la medicina, la vida y la muerte",1987,9
658.01/C48-ESEN,ESEN-1870-1871,"CIAMPA, Dan","Calidad total, guía para su implantación",1993,2
312/P45-ESEN,ESEN-1897-1898,INEI,"Perú: Mapa de las Necesidades Básicas Insatisfechas de los Hogares, A nivel distrital",1994,2
001.42/Z47-ESEN,ESEN-1904,"ZAVALA, Abel",Proyecto de Investigación Científica,1999,1
618.92/C98-ESEN,"ESEN-1909-1910, 1974-1975, 2077-2078, 3079-3082","CUSMINSKY, M.; LEJARRAGA, H.; MERCER, R. y otros",Manual de crecimiento y desarrollo del niño,1994,10
610.736/R34-ESEN,"ESEN-1916-1917, 2281, 2296-2297, 3377, 3495, 3895, 3952","REEDER, Sharon; MARTIN, Leonide; KONIAK, Deborah",Enfermería Materno-Infantil,1995,9
616.008/M14-ESEN,"ESEN-1927, 1954, 2202-2203, 3801","MADDALENO, Matilde; MUNIST, Mabel; y otros",La Salud del Adolescente y del Joven,1995,5
616.025/M19-ESEN,"ESEN-1928, 2023, 3165-3167","MALAGON-LONDOÑO, Gustavo",Manejo Integral de Urgencias,1992,5
618.9/A59-ESEN,ESEN-1929,"ANZOLA, Elias; GALINSKY, David; MORALES, Fernando; SALAS, Aquiles; SANCHEZ, Melba",La Atención de los Ancianos: Un Desafío para los Años Noventa,1994,1
615.85/V42-ESEN,ESEN-1940,CLINICA KURHAUS ELIM,Guía Moderna de Medicina Natural,1992,1
610.73/B29-ESEN,ESEN-1941,"BEARE, P.; MYERS, J.",El Tratado de Enfermería Mosby,1995,7
613.907/P78-ESEN,"ESEN-1949, 2537-2539, 2541-2543, ","PORTILLA, A.; SOTO, G.; LEYTON, C. y otros",Educación Sexual para Adolescentes,1995,7
610./S36-ESEN,ESEN-1950,"SEGUIN, Carlos A.",Tú y la Medicina,1995,1
362.1/P16-ESEN,ESEN-1952,OPS,La Garantía de Calidad Acreditación de Hospitales para América Latina y el Caribe,1992,1
610.7/D18-ESEN,ESEN-1953,"DAVINI, Maria Cristina",Educación Permanente en Salud,1995,1
613.042/G68-ESEN,"ESEN-1956-1957, 1967, 3695","GOMEZ GOMEZ, Elsa","Género, Mujer y Salud en las Américas ",1993,4
574.015/N82-ESEN,"ESEN-1960-1961, 1989-1990, 3316-3317","NORMAN, Geoffrey; STREINER, David",Bioestadística,1996,6
618.92/M42-ESEN,"ESEN-1962-1964, 3337-3338","MENEGHELLO, Julio R.",Diálogos en Pediatría,1990,5
618.92/M42-ESEN,"ESEN-1966, 3341","MENEGHELLO, Julio R.",Diálogos en Pediatría,1992,2
370/C88-ESEN,ESEN-1968,"CRUZ, José","Educación, Exelencia, Autoestima, Pertenencia y T.Q.M.",1995,1
613.3/T41-ESEN,ESEN-1969,MOSBY,Diccionario Lexus de la Salud,1996,1
615.3/R84-ESEN,ESEN-1970,"ROSENSTEIN STER, Emilio",Diccionario de Especialidades Farmaceúticas,1994,1
610.6/O65-ESEN,"ESEN-1972, 2993, 3007, 3436",OPS,Análisis de las Organizaciones de Salud,1987,4
612/G23-ESEN,"ESEN-1981, 3015","GANONG, William",Fisiología Médica,1990,2
616.369/R44-ESEN,ESEN-1983,"RESTREPO, J.; GUZMAN, J.; BOTERO, R.; y otros",Fundamentos de Medicina: Gastroenterología-Hepatología-Nutrición,1995,1
616.61/V39-ESEN,ESEN-1984,"CALA, Roso; BORRERO, Jaime",Fundamentos de Medicina: Nefrología,1993,1
616.24/V39-ESEN,ESEN-1985-1986,"CHAPARRO, C.; AWAD, C.; TORRES, C.",Fundamentos de Medicina: Neumología,1993,2
615.1/A65-ESEN,"ESEN-1987, 2048-2049, 2394-2395, 2907, 3371-3373","ARA, Ana; MARCHAND, Benoit",Buscando Remedio: Atención Básica y Uso de Medicamentos Esenciales,1995,9
574.8/G37-ESEN,ESEN-1994,"GENESER, Finn",Histología,1993,1
616.026/H22-ESEN,ESEN-1999-2000,"ISSELBACHER, Kurt; BRAUNWALD, Eugene; y otros",Principios de Medicina Interna,1994,2
616.026/W98-ESEN,ESEN-2001-2002,"WYNGAARDEN, James; SMITH, Lloyd; BENNETT, Claude",Tratado de Medicina Interna II,1994,2
150/D16-ESEN,ESEN-2006,"DARLEY, J.; GLUCKSBERG, S.; KINCHLA, R.",Psicología ,1990,1
610.730-ESEN,"ESEN-2007, 2059",DONAHUE M.Patricia,Historia de la Enfermería,1993,2
574.191/Q39-ESEN,"ESEN-2008, 3187","QUEZADA CASTILLO, Elvar; AGUILAR CASTRO, Wilder",Física Aplicada a las Ciencias de la Vida y la Salud,1994,2
155.5/A31-ESEN,ESEN-2009,"AGUIRRE BAZTAN, Angel",Psicología de la Adolescencia,1996,1
615.85/B23-ESEN,ESEN-2010,"BARRIGA RUIZ, Rodolfo","Plantas Utiles de la Amazonía Peruana: Características, usos y posibilidades",1994,1
574/W74-ESEN,ESEN-2011,"WAYNE, Daniel","Bioestadística, base para el análisis de las ciencias de la salud",1996,1
155.2/E61-ESEN,"ESEN-2013, 2900","ENGLER, Barbara",Introducción a las Teorías de la Personalidad,1996,2
301/G35-ESEN,ESEN-2014,"GELLES, R.; LEVINE, A.","Sociología, con aplicaciones a los países de habla hispana",1996,1
301/P51-ESEN,ESEN-2015,Conrad Phillip Kottak,Antropología: Una Exploración de la Diversidad Humana con Temas de la Cultura Hispánica,1994,1
155.7/P25-ESEN,ESEN-2016,"PAPALIA, D.; WENDKOS, S.",Desarrollo humano,1994,1
658/CH44-ESEN,"ESEN-2018, 3308","CHIAVENATO, Idalberto",Introducción a la teoría general de la administración,1995,2
658/S82-ESEN,"ESEN-2019, 2060","STONER, James; FREEMAN, Edward; GILBERT, Daniel",Administración,1995,2
618.736/C62-ESEN,"ESEN-2020-2021, 2030, 3108-3110, 3112","CLIMENT, Carlos; De Arango, María",Manual de psiquitría para trabajadores de atención primaria,1996,7
618.92/M42-ESEN,"ESEN-2025, 3340","MENEGHELLO, Julio R.",Diálogos en Pediatría,1991,2
615.5/G72-ESEN,"ESEN-2026-2027, 2291-2292, 2301-2302, 2686-2687, 3184-3186, 3374-3376","HARDMAN, Joel; LIMBIRD, Lee; MOLINOFF, Perry; y otros",Las Bases Farmacológicas de la Terapeútica,1996,14
616.98/M41-ESEN,"ESEN-2028, 3414-3415","MELGOSA, Julián",¡Sin Estrés!,1994,3
613.043/O65-ESEN,ESEN-2029,OPS,La Salud de los Jóvenes un Reto y una Esperanza,1995,1
610.047/C27-ESEN,"ESEN-2036-2037, 2414-2415, 2651, 2862, 2914, 3993","CARPENITO, Lynda Juall",Diagnóstico de Enfermería,1995,8
616.12/A79-ESEN,ESEN-2039,ASOCIACION PUERTORRIQUEÑA DEL CORAZON,"Medidas Básicas de Resucitación, Manual para el Salvacorazones",1993,1
610.733/O65-ESEN,ESEN-2040,OPS,Volumen V: Manual de Prototipo de Educación en Administración Hospitalaria,1996,1
610.733/O65-ESEN,ESEN-2041,OPS,"Volumen IV: Manual X Vigilancia Epidemiológica, Manual IX Vigilancia Sanitaria, Manual XII Vigilancia Ambiental, Manual XIII Prevención y Control de Infecciones Hospitalarias",1996,1
610.733/O65-ESEN,ESEN-2042,OPS,Volumen III: Manual de Gerencia de la Calidad,1996,1
610.733/O65-ESEN,ESEN-2043,OPS,"Volumen I: Manual I Tendencias Contemporáneas en la Gestión de la Salud, Manual II Concepto sobre Programación en los Sistemas Locales de Salud, Manual III Recursos Humano en Salud, Manual IV Administración de Recursos Materiales en Salud",1996,1
610.733/O65-ESEN,ESEN-2044,OPS,"Volumen II: Manual V Administración de Sistemas de Suministro de Medicamentos y Vacunas, Manual VI Mantenimiento de los Servicios de Salud: Instalaciones y Bienes de Equipo, Manual VII Administración Financiera para Gerentes de Salud, Manual VIII Pauttas para el Establecimiento de Sistemas Locales de Información.",1996,1
641.1/Z77-ESEN,ESEN-2045,OPS,Conocimientos Actuales sobre Nutrición,1991,1
618.3/A71-ESEN,ESEN-2050,"ARIAS, Fernando",Guía Práctica para el Embarazo y el Parto de Alto Riesgo,1995,1
617.03/K78-ESEN,"ESEN-2051, 2668","KOTTKE, Frederic; AMATE, Esther",Adelantos Clínicos en Medicina Física y Rehabilitación,1994,2
618.2/G79-ESEN,"ESEN-2052, 2135, 3321","GRANADA, María; VASQUEZ, Martha",La Mujer y el Proceso Reproductivo,1990,3
610.03/D-ESEN,"ESEN-2053, 2116-2117",DORLAND,Diccionario Médico de Bolsillo Dorland,1993,3
306.461/G26-ESEN,"ESEN-2055, 4059","GARCIA, J.C.",Pensamiento Social en Salud en América Latina,1994,2
001.4/D13-ESEN,"ESEN-2056-2057, 3315","DAY, Robert",Como Escribir y Publicar Trabajos Científicos,1994,3
610.736/D70-ESEN,ESEN-2058,"DICKASON, Elizabeth; LANG, Bonnie; OLSEN, Martha",Enfermería Maternoinfantil,1995,1
001.42/A92-ESEN,ESEN-2063,"AVILA ACOSTA, Roberto",Introducción a la Metodología de la Investigación,1997,1
617.9/F94-ESEN,ESEN-2064,"FULLER, Joanna Ruth",Instrumentación Quirúrgica; Principios y Práctica,1997,1
615.854/L82-ESEN,ESEN-2065,"LONGO, Elsa; NAVARRO, Elizabeth",Técnica Dietoterapica,1994,1
613.2/C45-ESEN,ESEN-2066,"CERVERA, Pilar; CLAPES, Jaume; RIGOLFAS, Rita","Alimentación y Dietoterapia, (Nutrición aplicada en la salud y la enfermedad)",1993,1
610.72/M26-ESEN,"ESEN-2071, 2267-2268, 2516-2517, 2676, 3113","MARRINER-TOMEY, Ann",Administración y Liderazgo en Enfermería,1996,7
376.01/D11-ESEN,"ESEN-2072-2075, 3314","DAY, Robert",Como Escribir y Publicar Trabajos Científicos,1994,5
613/E96-ESEN,ESEN-2079-2080,"EVANS, Robert; BARER, Morris; MARMOR, Theodore",¿Porqué alguna gente está sana y otra no?. Los Determinantes de la salud de las poblaciones,1996,2
618.024/W48-ESEN,"ESEN-2081-2082, 2387-2388, 3306, 3944","WERNER, David",Donde no hay Doctor,1996,6
304.3/C93-ESEN,ESEN-2083-2084,"CUETO, Marcos","Salud, cultura y sociedad en América Latina",1996,2
618.920/L54-ESEN,ESEN-2085,"LEVIT, Jorge Mario","Problemas Visuales en el Aula, Con Métodos de Exámen y Evaluación",1990,1
613.6/G57-ESEN,ESEN-2086-2087,"GLIZER, Isaac Miguel","Prevención de Accidentes y Lesiones: Conceptos, métodos y orientaciones para países en desarrollo",1993,2
617.96/C77-ESEN,ESEN-2088-2089,"DOBSON, Michael",Anestesia en el Hospital de Distrito,1989,2
617.57/A43-ESEN,ESEN-2090-2091,Allyn Welch,"Guía para Uso de Instrumentos de Diagnóstico para el Exámen del Ojo, Oído, Naríz y Garganta",1982,2
374.610/W49-ESEN,ESEN-2092-2093,"WESTBERG, Jane; JASON, Hilliard",Como Hacer Presentaciones Efectivas,1996,2
362.1/P16-ESEN,"ESEN-2094-2095,  3309, 3446","PAGANINI, J.; DE MORAES, H.",El Hospital público Tendencias y Perspectivas,1994,4
612.6/M36-ESEN,ESEN-2097-2098,"MEDELLIN CALDERON, Gladys; CILIA TASCON, Esther",Crecimiento y Desarrollo del Ser Humano,1995,2
618.92/N38-ESEN,ESEN-2100-2101,"BEHRMAN, Richard; KLIEGMAN, Robert; NELSON, Waldo; VAUGHAN, Victor","Tratado de Pediatría, Nelson",1992,2
618.2/B76-ESEN,"ESEN-2102, 2137","BOTERO, Jaime; JUBIZ, Alfonso; HENAO, Guillermo",Obstetricia y Ginecología,1994,2
616.24/F25-ESEN,"ESEN-2107, 2746, 3320","FARGA, Victorino",Tuberculosis,1992,3
611/T73-ESEN,"ESEN-2108-2110, 2741, 2814, 2919-2922, 3183, 3417","TORTORA, Gerard; GRABOWSKI, Sandra",Principios de Anatomía y Fisiología,1996,11
616/M-ESEN,ESEN-2118-2119,"BERKOW, Robert","El Manual de Merck, de Diagnóstico y Terapeutica",1994,2
616.026/R84-ESEN,"ESEN-2120-2121, 2683","ROZMAN, Ciril",Compendio de Medicina Interna,1997,3
616.42/O72-ESEN,ESEN-2123,"ORREGO, Arturo",Fundamentos de Medicina: Endocrinología,1991,1
616.24/R44-ESEN,"ESEN-2124, 2319, 2437, 2648","RESTREPO, J.; BOTERO, R.; FRANCO, F.; SIERRA, F.",Fundamentos de Medicina: Gastroenterología-Hepatología-Nutrición,1997,4
616.72/M74-ESEN,ESEN-2125,"MOLINA, Javier",Fundamentos de Medicina: Reumatología,1995,1
614.599/V38-ESEN,"ESEN-2126, 2434","VELASQUEZ, Gloria; GOMEZ, Rubén",Fundamentos de Medicina: SIDA,1997,2
616.7/R44-ESEN,ESEN-2127,"RESTREPO, A.; ROBLEDO, J.; BEDOYA, V.; y otros",Fundamentos de Medicina: Enfermedades Infecciosas,1996,1
613.94/H12-ESEN,"ESEN-2134, 2796","HATCHER, Robert; RINEHART, Ward; y otros",Lo Esencial de la Tecnología Anticonceptiva,1999,2
618.1/P45-ESEN,ESEN-2136,"PEREZ SANCHEZ, Alfredo",Ginecología,1990,1
618.5/G96-ESEN,"ESEN-2139-2141, 2298-2299, 3318, 3404","GUTIERREZ, Daniel",Salud reproductiva: concepto e importancia,1996,7
616.01/M43-ESEN,ESEN-2142-2143,"MURRAY, Patrick; KOBAYASHI, George; y otros",Microbiología Médica,1997,2
618.97/N31-ESEN,"ESEN-2145-2146, 2364-2365, 2786","ANZOLA PEREZ, Elías",Enfermería Gerontológica: Conceptos para la Práctica,1993,5
658.413/P87-ESEN,ESEN-2148,PROAHSA,Manual de Organización y Procedimientos Hospitalarios,1990,1
618.920/C77-ESEN,ESEN-2150,"CORREA, Jose; GOMEZ, Juan; POSADA, Ricardo",Fundamentos de Pediatría: Generalidades y Neonatología,1998,1
618.920/C77-ESEN,ESEN-2151,"CORREA, Jose; GOMEZ, Juan; POSADA, Ricardo",Fundamentos de Pediatría: Enfermedades Infecciosas y Respiratorias,1998,1
001.4/V30-ESEN,"ESEN-2152-2153, 2183-2184","VARKEVISSER, C.; PATHMANATHAN, I.; BROWNLEE, A.",Diseño y Realización de Proyectos de Investigación sobre Sistemas de Salud,1995,4
610.736/l82-ESEN,"ESEN-2154-2155, 2287-2289, 2510-2511, 2912, 3159, 3733-3736, ",LONG B.; PHIPPS W. Y CASSMEYER V.,Enfermería Médicoquirúrgica,1998,13
613/R75-ESEN,ESEN-2159,"RODRIGUEZ-GARCIA, Rosalía; GOLDMAN, Ann",La Conexión Salud - Desarrollo,1996,1
001.4/L64-ESEN,"ESEN-2160, 2658, 3553","LIGHT, R.; PILLEMER, R.","Revisando Investigaciones, la ciencia de sintetizar estudios",1996,3
613.2/S66-ESEN,"ESEN-2161, 2225","SOLORZANO, Xavier; y otros",La Focalización de Programas de Salud y Nutrición para Poblaciones pobres en América Latina,1997,2
614.5/R84-ESEN,ESEN-2163,"ROSE, Geoffrey",La Estrategia de Medicina Preventiva,1994,1
618.172/S64-ESEN,"ESEN-2164-2165, 3443",OPS,Normas diagnósticas y terapéuticas en ginecología infanto juvenil,1992,3
618.922/O65-ESEN,"ESEN-2168-2169, 2228, 2230-2231",OPS,Atención del Niño con Infección Respiratoria Aguda,1992,5
574.191/F85-ESEN,"ESEN-2171, 2649","FRUMENTO, A.",Bíofisica,1995,2
616.921/O65-ESEN,ESEN-2172,OPS,Dengue y dengue hemorrágico en las Américas: Guías para su prevención y control,1995,1
616.932/L66-ESEN,ESEN-2173-2174,"ROBERTO LIMA, Darcy",A pesar de todo solo tiene COLERA quien quiere tenerlo,1997,2
615.5/G71-ESEN,"ESEN-2175, 3973","GONZALEZ AGUDELO, Marco Antonio; LOPERA LOTERO, William Dario; ARANGO VILLA, Alvaro",Fundamentos de Medicina: Manual de Terapeutica,1998,2
641.1/W34-ESEN,ESEN-2179-2180,"WATERLOW, John",Malnutrición Proteico-Energética,1996,2
610.733/M12-ESEN,"ESEN-2181, 2265-2266, 2650","McMAHON, Rosemary;BARTON E.",Guía para la Gestión de la Atención Primaria de Salud,1997,4
613.85/CH71-ESEN,ESEN-2182,"CHOLLAT-TRAQUET, Claire",Evaluación de las Actividades de Lucha contra el Tabaco,1998,1
613.02/M81-ESEN,ESEN-2185,MOSBY,Vida Sana,1997,1
613/M81-ESEN,ESEN-2186,Mosby,Cuide de su salud,1997,1
626.026/C22-ESEN,"ESEN-2187, 3589",LEXUS,Manual Práctico de Primeros Auxilios,2004,2
155.5/O-ESEN,ESEN-2189,OCEANO,Psicología Infantil y Juvenil,1997,1
610.7/G18-ESEN,ESEN-2190,"GALLI, Amanda","Universidad y Salud, Integración Docente-Asistencial",1992,1
371.39/G18-ESEN,"ESEN-2191, 2197","KANCEPOLSKI, Jorge; FERRANTE, Adela",El Proceso de Enseñanza y Aprendizaje,1992,2
376.9/G18-ESEN,ESEN-2192,"GALLI, Amanda; CASTRO, Claudia",Curriculum y Programación Educacional,1992,1
376.9/O65-ESEN,ESEN-2195,"GALLI, Amanda; CASTRO, Claudia","Evaluación y Desempeño I, Exámenes Orales y Escritos",1992,1
614.42/G18-ESEN,ESEN-2196,"GALLI, Amanda; CASTRO, Claudia","Evaluación del Desempeño II, Observación sistemática, encuestas y entrevistas",1992,1
614.47/H21-ESEN,ESEN-2199,"HALSEY, Neal; de QUADROS, Ciro",Avances Recientes en Inmunizacion,1983,1
658/L68-ESEN,ESEN-2200,"LIP, Cesar",Dirección en Salud,1995,1
618.2/S36-ESEN,"ESEN-2206-2207, 2558-2559","SCHWARCZ, R.; DUVERGES, C.; DIAZ, A.; FESCINA, R.",Obstetricia,1997,4
618.1/B39-ESEN,ESEN-2208,"BEREK, Jonathan; ADASHI, Eli; HILLARD, Paula",Ginecología,1997,1
612/G97-ESEN,ESEN-2209,"GUYTON, Arthur",Tratado de Fisiología Médica,1997,1
618.920/C77-ESEN,ESEN-2210-2211,"CORREA, Jose; GOMEZ, Juan; POSADA, Ricardo","Fundamentos de Pediatría: Neurología, Alergia, Inmunología, Reumatología, Otorrinolaringología, Ortopedia y Urgencias",1998,2
618.920/C77-ESEN,ESEN-2212-2213,"CORREA, Jose; GOMEZ, Juan; POSADA, Ricardo","Fundamentos de Pediatría: Enf. Cardiovasculares, Digestivas, Endocrinas y Dermatológicas",1998,2
618.920/C77-ESEN,ESEN-2214,"CORREA, Jose; GOMEZ, Juan; POSADA, Ricardo","Fundamentos de Pediatría: Hematología, Neoplasias, Nefrología, Oftalmología y Genética",1998,2
610.03/S79-ESEN,ESEN-2216,OPS,Diccionario de Ciencias Médicas,1997,1
616/S79-ESEN,ESEN-2217,"STEIN, Jay",Medicina Interna,1991,1
618.92/N38-ESEN,ESEN-2219-2220,"BEHRMAN, Richard; KLIEGMAN, Robert; ARVIN, Ann",Tratado de Pediatría. Nelson,1996,2
618.9/P66-ESEN,"ESEN-2221, 2681","PLATA RUEDA, Ernesto",El Pediatra Eficiente,1990,2
641.1/M79-ESEN,ESEN-2223,"MORA, Rafael",Soporte Nutricional Especial,1997,1
612.3/P45-ESEN,ESEN-2236-2243,Ministerio de Salud,Encuesta de Salud y Nutrición Materno Infantil (Piura),1998,8
658.38/P87-ESEN,ESEN-2244-2245,Dep. Nacional de Planeación,Proequidad; Asesoría en Planeación y Gestión; Herramientas para construir equidad entre mujeres y hombres,1995,2
610.730/D71-ESEN,"ESEN-2246-2247, 3052, 3063, 3450",OPS,Dotación de Personal para los Servicios de Enfermería en Hospitales de Distrito para la Atención Primaria de Salud,1994,5
378.17/M44-ESEN,ESEN-2252-2253,"MESCUA BONIFACIO, Heraclio",Manual para la Planeación y Acreditación Universitaria,1994,2
615.537/S55-ESEN,ESEN-2260,IPSS,Plantas Medicinales de la Amazonía Peruana,1995,1
312.985/P45-ESEN,ESEN-2261,Intituto Nacional de Estadìstica e Informàtica,"Perú, Encuesta Demográfica y de Salud Familiar 1996",1997,1
615.5/I97-ESEN,"ESEN-2262, 2655","ISAZA, Carlos; ISAZA, Gustavo; y otros",Fundamentos de Farmacología en Terapeútica,1996,2
612.64/S18-ESEN,ESEN-2263-2264,"SADLER, T.W.",Embriología Médica,1996,2
610.73/I91-ESEN,"ESEN-2269-2270, 2856, 2738, 3489, 3509",P.W.Iyer,Proceso de Enfermería y Diagnóstico de Enfermería,1998,6
001.610/P75-ESEN,"ESEN-2271, 2274, 2417-2418","POLIT, D.; HUNGLER, B.",Investigación Científica en Ciencias de la Salud ,1997,4
618.920/N27-ESEN,ESEN-2272,"PUJOL, Natal; VIÑAS, Prats",Manual de Neonatología,1996,1
617.102/S46-ESEN,ESEN-2273,"SEILER, Thomas",Primeros Auxilios para niños y bebes,1995,1
615.9/R84-ESEN,"ESEN-2275, 2400, 2672","ROSENSTEIN STER, Emilio",Diccionario de Especialidades Farmaceúticas,1998,3
614.1/C77-ESEN,ESEN-2276,"CORREA RAMIREZ, Alberto Isaac",Identificación Forence,1990,1
614.1/B74-ESEN,ESEN-2277,"BASILE, Alejandro; WAISMAN, David",Fundamentos de Medicina Legal,1991,1
618.92/M42-ESEN,"ESEN-2278-2279, 2429-2432","MENEGHELLO, Julio; FANTA, Enrique; PARIS, Enrique; PUGA, Teodoro",Pediatría,1997,6
611/G25-ESEN,ESEN-2280,"O'RAHILLY, Ronan",Anatomía de Gardner,1986,1
610.736/S61-ESEN,"ESEN-2283-2286, 2425-2426, 2910-2911, 3151, 3156, ",S. Smeltzer. B Bare,Enfermería Médico Quirúrgica,1998,10
616.5/F18-ESEN,ESEN-2308-2309,"FALABELLA, Rafael; ESCOBAR, Carlos; GIRALDO, Nelson",Fundamentos de Medicina: Dermatología,1990,2
618.976/K21-ESEN,ESEN-2315,"KANE, Robert; OUSLANDER, Joseph; ABRASS, Itamar",Geriatría Clínica,1997,1
616.8/V62-ESEN,"ESEN-2317, 2320, 3525","URIBE, Carlos; ARANA, Abraham; LORENZANA, Pablo",Fundamentos de Medicina: Neurología,1997,3
616.89/T73-ESEN,ESEN-2318,"TORO, Ricardo; YEPES, Luis",Fundamentos de Medicina: Psiquiatría,1997,1
616.5/f18-ESEN,"ESEN-2321-2322, 2438","FALABELLA, Rafael; ESCOBAR, Carlos; GIRALDO, Nelson",Fundamentos de Medicina: Dermatología,1997,3
616.075/A58-ESEN,ESEN-2323,"ANGEL, Gilberto; ANGEL, Mauricio",Interpretación Clínica del Laboratorio,1996,1
615.537/S55-ESEN,ESEN-2324,"SILVA DELGADO, Herman",Plantas Medicinales de la Amazonía Peruana utilizadas por curanderos y chamanes con fines anticonceptivos,1997,1
610.6/P45-ESEN,"ESEN-2334, 3582",Ministerio de Salud,Planeamiento Estratégico de la Comunicación Educativa,1999,2
613.94/P45-ESEN,ESEN-2336,MINSA,Guías Nacionales de Atención a la Salud Reproductiva,1996,1
613.94/P45-ESEN,ESEN-2338,MINSA,Enfermedades de Transmisión Sexual,1997,1
610.7/U61-ESEN,ESEN-2339,UNISAP,La Perspectiva de Género en Salud: Elmentos Teóricos y Metodológicos para la Enseñanza Universitaria,1996,1
306.01/M36-ESEN,ESEN-2340-2343,UNISAP,Investigación en  Salud Pública,1995,4
610.734/U61-ESEN,ESEN-2344-2347,UNISAP,Salud Comunitaria,1996,4
614.4/U61-ESEN,"ESEN-2348-2350, 2363, 3962",UNISAP,"Epidemiología y Salud en Población, Anexo Bibliográfico",1995,5
306.01/M36-ESEN,ESEN-2355-2358,UNISAP,Formulación y Evaluación de Proyectos Sociales y de Generación de Fondos,1995,4
641.3/U61-ESEN,ESEN-2359-2362,UNISAP,"Módulo Nutrición, anexo bibliográfico",1995,4
616.992/O65-ESEN,ESEN-2366,OPS,Alivio del Dolor en el Cáncer,1996,1
615.882/C28-ESEN,ESEN-2367,"CASANOVA-LENTI, Carlos","Hipócrates de COS, el Genio de la Ciencia Perenne",1994,1
174.2/D65-ESEN,ESEN-2385,ORG.COLEGIAL DE ENFERMERIA DE ESPAÑA,Código deontológico de la enfermería española,1989,1
174.2/A41-ESEN,ESEN-2389,"VELEZ CORREA, Luis Alfonso","Etica médica, interrogantes acerca de la medicina, la vida y la muerte",1987,1
611/L28-ESEN,"ESEN-2390-2393, 3972, 3999","LATARJET, M.; RUIZ, A.",Anatomía Humana,1997,6
616.9/G68-ESEN,ESEN-2396,"VELEZ H.; ROJAS, W.; BORRERO, J.; RESTREPO, J.",Fundamentos de Medicina: El paciente en estado crítico,1997,1
611/C97-ESEN,ESEN-2399,J.Crouch. R.McClintic,"Principios de Anatomía Humana, Bases Morfológicas y Correlación Fisiológica",1974,1
618.920/T52-ESEN,"ESEN-2402, 2659, 3083","TICONA RENDON, Manuel","El Recién Nacido, Morbi-Mortalidad",1995,3
618.021/B23-ESEN,ESEN-2403,"BARAHONA, Victor",Soporte Cardíaco Básico,1997,1
617/S31-ESEN,ESEN-2409-2412,"SCHWARTZ, Seymour",Principios de Cirugía,1995,4
570.1/C97-ESEN,"ESEN-2416, 2515, 2685",CURTIS H.; BARNES N.,Biología,1993,3
616.064/G65-ESEN,"ESEN-2419-2420, 2682, 2867","GOIC, Alejandro; CHAMORRO, Gastón; REYES, Humberto",Semiología Médica  ,1999,4
610.9/J61-ESEN,"ESEN-2421-2422, 2518","ATKINSON, Lucy","Técnicas de Quirófano, de Berry y Kohn",1994,3
618.1/B39-ESEN,"ESEN-2428, 3998","BEREK, Jonathan; ADASHI, Eli; HILLARD, Paula",Ginecología de Novak,1997,2
616.736/V11-ESEN,"ESEN-2433, 2435-2436","VELEZ H.; ROJAS, W.; BORRERO, J.; RESTREPO, J.",Fundamentos de Medicina: El paciente en estado crítico,1997,3
612.63/k59-ESEN,ESEN-2443,"KLAUS, Marshall; Kennell",Vínculo Materno Infantil,1996,1
155/L55-ESEN,"ESEN-2446, 2450-2453, 2568",MINSA,Estimulación Temprana del Desarrollo Psicomotor de 0 a 6 años,1995,6
370.155/O69-ESEN,"ESEN-2447, 3590-3591",LEXUS,"Estimulación Temprana, Inteligencia Emocional y Cognitiva-De 0 a 1 año; 1 a 3 años; 3 a 6 años",,3
613.1/A39-ESEN,ESEN-2448,"ALIAGA SANTA MARIA, Mérida","Salud Ambiental, aportes al manejo del ambiente para una salud de calidad en el Perú",1997,1
618.22/M36-ESEN,ESEN-2454,MINSA,Atención integral en el control de crecimiento y desarrollo del niño,1998,1
612.3/S91-ESEN,ESEN-2455,"SULCA QUISPE, Liduvina",Nutrición: Consideraciones Bromatológicas,1999,1
610.28/G82-ESEN,ESEN-2462,"PERRY, A.; POTTER, P.",Guía Clínica de Enfermería: Técnicas y Procedimientos Básicos,1998,1
610.736/S37-ESEN,ESEN-2463,"SELFRIDGE-THOMAS, Judy",Actuación de Enfermería en Urgencias,1998,1
610.736/S72-ESEN,ESEN-2464,"SOULE, Barbara; LARSON, Elaine; PRESTON, Gary","Infecciones y Práctica de Enfermería, Prevención y Control",1996,1
610.73/P79-ESEN,"ESEN-2465, 2767","POTTER, PATRICIA; PERRY, ANNE",Fundamentos de Enfermería: Teoría y Práctica,1996,2
610.736/O88-ESEN,ESEN-2466-2471,"OTTO, Shirley",Enfermería Oncológica,1999,6
615.882/S55-ESEN,ESEN-2472,"SILVA DELGADO, Hermann",Bixa Orellana L: Un antinflamatorio milenario,1996,1
610.73/G73-ESEN,ESEN-2473-2474,"GORDON, Marjory",Diagnóstico Enfermero: Proceso Aplicación,1996,2
